asset,strategy,market,total_return_pct,cagr_pct,annual_vol_pct,sharpe,sortino,max_drawdown_pct,calmar,turnover_units,round_trips_est,positive_month_pct,funding_drag_pct,cost_drag_pct,return_2021_2023_pct,return_2024_current_pct,return_2025_current_pct
BTC,buy_hold,spot,88.98280338016149,13.38408872561454,51.04210066502491,0.501442102052421,0.8003503364143151,-77.08301398445447,0.17363214064662474,1.0,0.5,54.09836065573771,0.0,0.13,1.9594481435304623,85.3509476768917,-16.16204590545228
BTC,ema_50d_200d_long_cash,spot,194.95065883136178,23.795636388390527,38.46484498519526,0.7474292392845019,1.1416337418406515,-51.29116648291709,0.46393244724344185,6.0,3.0,36.0655737704918,0.0,0.7799999999999999,37.61194032265656,114.33507742118425,-3.0519422376340866
BTC,rsi_pullback_long_cash,spot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC,vol_target_momentum_long_cash,spot,99.03959240780442,14.5502114102243,24.1191979011925,0.6837935840925734,1.0420747876653784,-35.44764867813046,0.4104704247760473,131.45720626316526,65.72860313158263,34.42622950819672,0.0,17.089436814211485,0.09860804509589371,98.84351670318263,11.757852154512726
BTC,ema_50d_200d_long_short,futures,109.41068825622176,15.704253799362,51.04902962882263,0.5412073888651885,0.8624767750124744,-52.36055746917633,0.2999252597455021,13.0,6.5,52.459016393442624,22.060715000000002,1.04,12.626493101091185,85.93377320934619,-5.213334507872547
BTC,donchian_55d_20d_long_short,futures,1.68222975727228,0.32977017755015936,42.02484881964427,0.21826054530472666,0.33211196470391774,-60.72355796408958,0.005430679436557017,57.0,28.5,34.42622950819672,16.824632,4.5600000000000005,26.13746302917619,-19.387763702086946,-13.103240187093856
ETH,buy_hold,spot,-1.5798407790281632,-0.3137783496502844,67.92207134906766,0.3355309317482104,0.532181492417207,-81.1552376338656,-0.0038663967822496594,1.0,0.5,47.540983606557376,0.0,0.13,-9.856349658827657,9.181466302368202,-25.26689004909167
ETH,ema_50d_200d_long_cash,spot,1.2429768969169697,0.2440876814496784,45.33290506967283,0.23293275841071592,0.342953239748031,-59.00169393813304,0.0041369605710917315,10.0,5.0,24.59016393442623,0.0,1.3,10.742969606239171,-8.578416077427198,-20.26794079578994
ETH,rsi_pullback_long_cash,spot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,vol_target_momentum_long_cash,spot,38.57152063267599,6.649653923311338,23.758660532268117,0.38989536603031666,0.5805518816218386,-37.41216142888254,0.17774043704884004,94.94372427595646,47.47186213797823,26.229508196721312,0.0,12.342684155874338,-12.563809220839794,58.4830256188422,9.472900384482186
ETH,ema_50d_200d_long_short,futures,-76.31489742518694,-24.742065076403776,67.93107192854589,-0.07771260311266241,-0.12247926942500038,-88.25779668305432,-0.28033857637819665,19.0,9.5,42.62295081967213,19.233102,1.5200000000000002,-39.794227692909956,-60.659747949078714,-48.122761362972
ETH,donchian_55d_20d_long_short,futures,59.76228163363648,9.687155299953321,56.64743313794829,0.44652440966195145,0.691948641523858,-78.47631040767399,0.12344050388747684,53.0,26.5,40.98360655737705,19.799308999999997,4.240000000000001,-56.62770275463047,268.35097926636087,159.83282804749942
SOL,buy_hold,spot,160.4382996336104,20.792401732337673,98.49932968749319,0.6833237164858591,1.1405553519585698,-96.60248668400841,0.21523671331930266,1.0,0.5,47.540983606557376,0.0,0.13,176.5950949098492,-5.841316629821113,-49.35524785963433
SOL,ema_50d_200d_long_cash,spot,695.1893767554491,50.55959538888484,68.34933859615144,0.9389862740009851,1.4884580028540804,-68.2786404469506,0.7404891933688595,8.0,4.0,27.86885245901639,0.0,1.04,745.1637333022438,-5.912979293554632,-49.39379276821406
SOL,rsi_pullback_long_cash,spot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOL,vol_target_momentum_long_cash,spot,116.83935615495847,16.50298943417763,22.47805962222501,0.7917565764261183,1.2448508773729232,-31.73583677378836,0.5200111644072979,69.61815577831214,34.80907788915607,32.78688524590164,0.0,9.050360251180578,114.69899768037676,0.9969112560870519,-11.535236871774456
SOL,ema_50d_200d_long_short,futures,-5.011697495376355,-1.0095758031727464,98.70730384429896,0.48530232731369255,0.7859789113205707,-91.30621376752862,-0.011057032829585839,15.0,7.5,47.540983606557376,67.374408,1.2,101.16575230084406,-52.781076590726926,-70.8828116626741
SOL,donchian_55d_20d_long_short,futures,150.77784431806595,19.894695864927712,83.69064326070378,0.6357367716455533,0.9971159619955001,-79.76289149325433,0.24942295210812712,51.0,25.5,32.78688524590164,67.025121,4.08,549.6281870823619,-61.39671133354454,-52.35038835972037
