asset,family,params,train_return_pct,holdout_return_pct,full_sharpe,full_max_drawdown_pct
BTC,ema_long_cash,"fast=30,slow=150",74.04479377894428,76.54979486653734,0.7881405768811138,-40.59201508352174
BTC,ema_long_cash,"fast=30,slow=200",65.47101600141858,89.53595695759446,0.7854922353323159,-43.58895262067285
BTC,ema_long_cash,"fast=30,slow=250",17.93841471746873,125.33413621969056,0.6978450545944362,-49.542545816527515
BTC,ema_long_cash,"fast=50,slow=150",49.862740718941964,89.12676999073943,0.7377318371014495,-43.58302675437893
BTC,ema_long_cash,"fast=50,slow=200",37.61194032265656,114.33507742118425,0.7474292392845019,-51.29116648291709
BTC,ema_long_cash,"fast=50,slow=250",35.238024277471695,98.65217840431049,0.7040127712114773,-43.23110872569178
BTC,ema_long_cash,"fast=80,slow=150",54.424854922523004,106.18158603103839,0.7871644135680248,-48.59037372947307
BTC,ema_long_cash,"fast=80,slow=200",32.11819102554043,104.88431753084066,0.7078514170694485,-44.26431008672586
BTC,ema_long_cash,"fast=80,slow=250",7.220480747374203,114.60107328543731,0.6223425048034189,-54.60316515175718
BTC,vol_target_momentum,"mom=60,slow=150,vol=0.25",50.11843735343682,57.65489443740939,1.0730870396027137,-19.1192466866707
BTC,vol_target_momentum,"mom=60,slow=150,vol=0.35",69.91425435096642,82.92600178954517,1.0705232878441673,-25.973711162692226
BTC,vol_target_momentum,"mom=60,slow=150,vol=0.45",71.9276092471316,89.37403517148117,0.9773983387689359,-31.567539202997875
BTC,vol_target_momentum,"mom=60,slow=200,vol=0.25",28.291365576067996,59.38398389618491,0.9070190310464308,-19.319391807911323
BTC,vol_target_momentum,"mom=60,slow=200,vol=0.35",40.446263836655504,86.37768457912533,0.9285031066261171,-26.234812968758835
BTC,vol_target_momentum,"mom=60,slow=200,vol=0.45",39.91453410142321,93.15392522093009,0.8453125210138689,-31.82252020926939
BTC,vol_target_momentum,"mom=60,slow=250,vol=0.25",15.00782146038051,58.90543590639523,0.7889239927241223,-22.99865012691349
BTC,vol_target_momentum,"mom=60,slow=250,vol=0.35",20.650278330159068,85.85692932351941,0.8085305692851658,-28.231556965683446
BTC,vol_target_momentum,"mom=60,slow=250,vol=0.45",17.4136339010563,92.41894753631858,0.7256176583737419,-34.05890491369904
BTC,vol_target_momentum,"mom=90,slow=150,vol=0.25",17.485425731610004,54.77062758140055,0.7547264421592103,-20.185292926174135
BTC,vol_target_momentum,"mom=90,slow=150,vol=0.35",23.715463397557635,79.91172066616683,0.7754573169280002,-24.89523673601979
BTC,vol_target_momentum,"mom=90,slow=150,vol=0.45",21.324462251485077,92.3945658361208,0.7291391808412049,-27.628581015634644
BTC,vol_target_momentum,"mom=90,slow=200,vol=0.25",-1.1674649249541424,66.68018693053395,0.6437770827344782,-29.050532329332356
BTC,vol_target_momentum,"mom=90,slow=200,vol=0.35",0.09860804509589371,98.84351670318263,0.6837935840925734,-35.44764867813046
BTC,vol_target_momentum,"mom=90,slow=200,vol=0.45",-3.750425883991537,114.86720872315192,0.6444731029094264,-41.07683429984969
BTC,vol_target_momentum,"mom=90,slow=250,vol=0.25",-10.684032549115996,71.9613956642552,0.5711446203257838,-34.81112291556315
BTC,vol_target_momentum,"mom=90,slow=250,vol=0.35",-13.054836883298382,107.71457873853167,0.6094101883530401,-42.61119414686316
BTC,vol_target_momentum,"mom=90,slow=250,vol=0.45",-18.097476896864105,125.00540211129274,0.5684974182655682,-48.33471246989897
BTC,vol_target_momentum,"mom=120,slow=150,vol=0.25",40.82070670194826,16.971879334390305,0.6489203364811473,-24.97385640878713
BTC,vol_target_momentum,"mom=120,slow=150,vol=0.35",56.57097613075954,23.095639427891346,0.6618864589515132,-32.73302704048796
BTC,vol_target_momentum,"mom=120,slow=150,vol=0.45",58.332690908897675,25.326896890217697,0.6218719438080305,-37.66696837607591
BTC,vol_target_momentum,"mom=120,slow=200,vol=0.25",28.81030819010748,26.97981871171258,0.6316017780199338,-20.29753603889388
BTC,vol_target_momentum,"mom=120,slow=200,vol=0.35",37.77750479634647,36.93097303625479,0.6358568966498074,-27.1555966896444
BTC,vol_target_momentum,"mom=120,slow=200,vol=0.45",36.35932292785642,40.117710522491954,0.588307436614618,-31.44662526046359
BTC,vol_target_momentum,"mom=120,slow=250,vol=0.25",16.043450544990367,28.21662557002933,0.5287109521156101,-21.554116436052407
BTC,vol_target_momentum,"mom=120,slow=250,vol=0.35",19.20869879216831,38.70794455385731,0.5303112797119641,-28.8009160544921
BTC,vol_target_momentum,"mom=120,slow=250,vol=0.45",15.109882436701305,41.38666449340314,0.4786195620556114,-35.11705068824356
ETH,ema_long_cash,"fast=30,slow=150",64.85704386807278,-1.500987349899363,0.438515477616345,-62.569069546783055
ETH,ema_long_cash,"fast=30,slow=200",35.681800910545114,-4.628992217751238,0.33971066598301264,-60.951941946886045
ETH,ema_long_cash,"fast=30,slow=250",-16.391256781065977,-11.041614604085249,0.09620564465022195,-64.69562786507595
ETH,ema_long_cash,"fast=50,slow=150",19.270439411961384,1.8215415435783644,0.31242920746306124,-56.32750787407039
ETH,ema_long_cash,"fast=50,slow=200",10.742969606239171,-8.578416077427198,0.23293275841071592,-59.00169393813304
ETH,ema_long_cash,"fast=50,slow=250",10.815657046381633,-7.122557560393583,0.23901635944675215,-53.864913058266865
ETH,ema_long_cash,"fast=80,slow=150",2.4615378024669843,-8.321938546474838,0.20114029246777135,-59.01429670064267
ETH,ema_long_cash,"fast=80,slow=200",23.198976967135,-8.368521687485552,0.2820666453117183,-55.55887117185636
ETH,ema_long_cash,"fast=80,slow=250",-4.331667965174968,-41.835794185358246,-0.011866856652549123,-73.93714933838761
ETH,vol_target_momentum,"mom=60,slow=150,vol=0.25",27.574424437904298,56.91034459683117,0.8968101018982515,-15.072934913268677
ETH,vol_target_momentum,"mom=60,slow=150,vol=0.35",39.43316473521414,84.0442582263552,0.9069981280769153,-20.713461718163806
ETH,vol_target_momentum,"mom=60,slow=150,vol=0.45",46.780060808447075,112.57610743232847,0.901854031514849,-25.647015203166657
ETH,vol_target_momentum,"mom=60,slow=200,vol=0.25",19.321089291238593,47.56725074214796,0.7578286004888319,-16.91626880774316
